date,edits,lives,covid_edits,covid_lives,covid_edits_percent,covid_lives_percent,culumative_edits,culumative_lives
20200109,106,17,1,0,1,0,1,0
20200110,105,14,0,0,0,0,1,0
20200111,89,12,0,0,0,0,1,0
20200112,67,6,0,0,0,0,1,0
20200113,92,10,0,0,0,0,1,0
20200114,101,17,3,0,3,0,4,0
20200115,129,18,0,0,0,0,4,0
20200116,101,22,1,0,1,0,5,0
20200117,102,9,0,0,0,0,5,0
20200118,88,8,2,0,2,0,7,0
20200119,113,10,4,0,3,0,11,0
20200120,110,10,6,0,5,0,17,0
20200121,125,22,15,1,10,1,32,1
20200122,122,23,14,2,10,1,46,3
20200123,138,16,17,1,11,1,63,4
20200124,150,20,23,1,14,1,86,5
20200125,89,8,15,2,15,2,101,7
20200126,94,6,23,3,23,3,124,10
20200127,142,20,20,1,12,1,144,11
20200128,104,20,18,3,15,2,162,14
20200129,114,15,24,3,19,2,186,17
20200130,105,19,29,4,23,3,215,21
20200131,146,36,48,7,26,4,263,28
20200201,84,14,17,4,17,4,280,32
20200202,89,36,26,1,21,1,306,33
20200203,118,21,25,5,18,4,331,38
20200204,119,21,22,3,16,2,353,41
20200205,126,16,18,2,13,1,371,43
20200206,129,23,15,4,10,3,386,47
20200207,116,15,25,8,19,6,411,55
20200208,90,7,20,2,21,2,431,57
20200209,107,10,15,6,13,5,446,63
20200210,96,12,14,2,13,2,460,65
20200211,118,17,28,6,21,4,488,71
20200212,111,21,19,2,14,2,507,73
20200213,120,15,32,5,24,4,539,78
20200214,103,14,23,6,20,5,562,84
20200215,87,15,14,7,14,7,576,91
20200216,87,7,15,1,16,1,591,92
20200217,104,11,14,4,12,3,605,96
20200218,128,12,23,3,16,2,628,99
20200219,97,13,13,2,12,2,641,101
20200220,120,21,8,2,6,1,649,103
20200221,110,22,18,3,14,2,667,106
20200222,72,13,22,7,26,8,689,113
20200223,92,9,22,3,22,3,711,116
20200224,130,21,54,8,36,5,765,124
20200225,117,20,60,11,44,8,825,135
20200226,141,13,69,7,45,5,894,142
20200227,138,20,78,9,49,6,972,151
20200228,117,21,53,9,38,7,1025,160
20200229,121,22,29,5,20,3,1054,165
20200301,112,15,37,4,29,3,1091,169
20200302,122,25,63,10,43,7,1154,179
20200303,150,24,55,7,32,4,1209,186
20200304,126,30,48,11,31,7,1257,197
20200305,129,28,64,14,41,9,1321,211
20200306,131,21,66,10,43,7,1387,221
20200307,76,9,42,6,49,7,1429,227
20200308,111,11,55,9,45,7,1484,236
20200309,122,28,73,7,49,5,1557,243
20200310,134,24,91,16,58,10,1648,259
20200311,139,28,90,14,54,8,1738,273
20200312,148,28,130,24,74,14,1868,297
20200313,152,22,123,18,71,10,1991,315
20200314,94,11,80,10,76,10,2071,325
20200315,95,10,88,9,84,9,2159,334
20200316,133,22,122,19,79,12,2281,353
20200317,143,23,130,21,78,13,2411,374
20200318,134,24,124,20,78,13,2535,394
20200319,118,20,111,15,80,11,2646,409
20200320,128,24,115,21,76,14,2761,430
20200321,98,11,91,11,83,10,2852,441
20200322,83,14,76,13,78,13,2928,454
20200323,123,18,117,16,83,11,3045,470
20200324,119,16,107,14,79,10,3152,484
20200325,141,26,131,24,78,14,3283,508
20200326,110,26,103,24,76,18,3386,532
20200327,144,25,137,23,81,14,3523,555
20200328,85,15,83,15,83,15,3606,570
20200329,86,14,80,12,80,12,3686,582
20200330,107,24,105,21,80,16,3791,603
20200331,114,20,110,17,82,13,3901,620
20200401,118,17,111,12,82,9,4012,632
20200402,113,24,110,21,80,15,4122,653
20200403,119,28,114,26,78,18,4236,679
20200404,81,13,73,12,78,13,4309,691
20200405,81,15,79,14,82,15,4388,705
20200406,126,28,117,24,76,16,4505,729
20200407,132,25,121,23,77,15,4626,752
20200408,128,24,109,19,72,13,4735,771
20200409,109,26,102,20,76,15,4837,791
20200410,93,17,73,12,66,11,4910,803
20200411,68,14,61,11,74,13,4971,814
20200412,83,15,73,11,74,11,5044,825
20200413,105,16,82,13,68,11,5126,838
20200414,115,20,98,18,73,13,5224,856
20200415,129,22,113,18,75,12,5337,874
20200416,119,26,104,20,72,14,5441,894
20200417,113,21,98,17,73,13,5539,911
