date,edits,lives,covid_edits,covid_lives,covid_edits_percent,covid_lives_percent,culumative_edits,culumative_lives
20200418,61,9,52,6,74,9,5591,917
20200419,88,13,68,13,67,13,5659,930
20200420,104,20,91,16,73,13,5750,946
20200421,111,18,95,15,74,12,5845,961
20200422,111,19,91,14,70,11,5936,975
20200423,126,22,101,19,68,13,6037,994
20200424,118,16,94,12,70,9,6131,1006
20200425,67,8,51,8,68,11,6182,1014
20200426,82,10,70,10,76,11,6252,1024
20200427,130,17,108,14,73,10,6360,1038
20200428,106,16,87,14,71,11,6447,1052
20200429,103,20,87,16,71,13,6534,1068
20200430,126,21,106,18,72,12,6640,1086
20200501,125,17,97,11,68,8,6737,1097
20200502,67,8,56,8,75,11,6793,1105
20200503,75,7,59,5,72,6,6852,1110
20200504,138,16,118,13,77,8,6970,1123
20200505,101,16,76,13,65,11,7046,1136
20200506,118,21,94,19,68,14,7140,1155
20200507,112,12,87,8,70,6,7227,1163
20200508,114,19,79,9,59,7,7306,1172
20200509,79,12,48,6,53,7,7354,1178
20200510,69,5,53,5,72,7,7407,1183
20200511,119,16,101,14,75,10,7508,1197
20200512,121,17,102,13,74,9,7610,1210
20200513,124,19,107,16,75,11,7717,1226
20200514,124,19,106,15,74,10,7823,1241
20200515,121,18,93,14,67,10,7916,1255
20200516,80,11,57,10,63,11,7973,1265
20200517,85,13,51,6,52,6,8024,1271
20200518,125,15,99,12,71,9,8123,1283
20200519,102,15,72,12,62,10,8195,1295
20200520,111,19,68,13,52,10,8263,1308
20200521,93,12,64,8,61,8,8327,1316
20200522,95,14,68,8,62,7,8395,1324
20200523,64,6,42,5,60,7,8437,1329
20200524,88,11,43,4,43,4,8480,1333
20200525,114,11,90,7,72,6,8570,1340
20200526,97,21,60,13,51,11,8630,1353
20200527,108,17,64,10,51,8,8694,1363
20200528,96,17,54,6,48,5,8748,1369
20200529,123,23,66,11,45,8,8814,1380
20200530,89,28,28,2,24,2,8842,1382
20200531,82,23,23,3,22,3,8865,1385
20200601,113,43,57,5,37,3,8922,1390
20200602,118,48,30,3,18,2,8952,1393
20200603,106,42,43,11,29,7,8995,1404
20200604,104,20,36,5,29,4,9031,1409
20200605,101,19,44,12,37,10,9075,1421
20200606,81,20,21,1,21,1,9096,1422
20200607,79,12,15,2,16,2,9111,1424
20200608,103,23,47,8,37,6,9158,1432
20200609,106,17,43,5,35,4,9201,1437
20200610,110,20,53,6,41,5,9254,1443
20200611,101,16,39,9,33,8,9293,1452
20200612,118,14,43,6,33,5,9336,1458
20200613,59,17,26,4,34,5,9362,1462
20200614,66,16,19,2,23,2,9381,1464
20200615,131,19,75,11,50,7,9456,1475
20200616,100,20,46,6,38,5,9502,1481
20200617,100,21,44,7,36,6,9546,1488
20200618,93,21,43,11,38,10,9589,1499
20200619,106,20,51,8,40,6,9640,1507
20200620,68,13,23,3,28,4,9663,1510
20200621,94,6,22,1,22,1,9685,1511
20200622,104,14,46,7,39,6,9731,1518
20200623,95,22,40,10,34,9,9771,1528
20200624,97,15,42,7,38,6,9813,1535
20200625,99,17,38,9,33,8,9851,1544
20200626,100,19,35,6,29,5,9886,1550
20200627,51,5,17,1,30,2,9903,1551
20200628,83,9,26,1,28,1,9929,1552
20200629,109,17,42,9,33,7,9971,1561
20200630,124,21,52,7,36,5,10023,1568
20200701,126,24,61,10,41,7,10084,1578
20200702,87,11,39,5,40,5,10123,1583
20200703,95,10,47,4,45,4,10170,1587
20200704,75,8,29,2,35,2,10199,1589
20200705,63,9,26,3,36,4,10225,1592
20200706,84,10,41,4,44,4,10266,1596
20200707,124,16,53,8,38,6,10319,1604
20200708,105,20,59,13,47,10,10378,1617
20200709,107,19,46,7,37,6,10424,1624
20200710,111,16,41,6,32,5,10465,1630
20200711,86,5,27,2,30,2,10492,1632
20200712,80,8,29,1,33,1,10521,1633
20200713,114,18,56,11,42,8,10577,1644
20200714,106,16,42,8,34,7,10619,1652
20200715,120,19,55,8,40,6,10674,1660
20200716,102,18,36,6,30,5,10710,1666
20200717,112,10,66,8,54,7,10776,1674
20200718,74,10,33,6,39,7,10809,1680
20200719,62,4,28,3,42,5,10837,1683
20200720,95,13,44,8,41,7,10881,1691
20200721,116,18,52,9,39,7,10933,1700
20200722,96,15,38,5,34,5,10971,1705
20200723,110,18,53,11,41,9,11024,1716
20200724,96,11,33,3,31,3,11057,1719
20200725,78,7,24,3,28,4,11081,1722
20200726,66,5,16,1,23,1,11097,1723
20200727,102,15,42,6,36,5,11139,1729
20200728,116,18,52,8,39,6,11191,1737
20200729,105,17,39,5,32,4,11230,1742
20200730,107,16,48,6,39,5,11278,1748
20200731,104,15,44,7,37,6,11322,1755
20200801,78,12,28,4,31,4,11350,1759
20200802,58,5,21,1,33,2,11371,1760
20200803,105,17,36,5,30,4,11407,1765
20200804,102,12,27,3,24,3,11434,1768
20200805,99,14,23,2,20,2,11457,1770
20200806,94,17,31,6,28,5,11488,1776
20200807,101,12,28,5,25,4,11516,1781
20200808,79,11,17,3,19,3,11533,1784
20200809,83,7,16,1,18,1,11549,1785
20200810,92,16,26,7,24,6,11575,1792
20200811,112,19,41,6,31,5,11616,1798
20200812,93,12,27,4,26,4,11643,1802
20200813,108,16,35,10,28,8,11678,1812
20200814,99,19,30,4,25,3,11708,1816
20200815,83,14,20,4,21,4,11728,1820
20200816,69,6,21,2,28,3,11749,1822
20200817,82,15,21,2,22,2,11770,1824
20200818,104,15,32,4,27,3,11802,1828
20200819,109,15,24,6,19,5,11826,1834
20200820,106,16,29,4,24,3,11855,1838
20200821,94,21,24,2,21,2,11879,1840
20200822,71,10,19,2,23,2,11898,1842
20200823,76,9,13,3,15,4,11911,1845
20200824,109,18,32,4,25,3,11943,1849
20200825,128,18,35,2,24,1,11978,1851
20200826,105,13,28,2,24,2,12006,1853
20200827,110,23,30,7,23,5,12036,1860
20200828,93,19,22,3,20,3,12058,1863
20200829,66,13,23,4,29,5,12081,1867
20200830,71,6,11,1,14,1,12092,1868
20200831,79,20,18,8,18,8,12110,1876
20200901,115,17,51,4,39,3,12161,1880
20200902,123,19,31,4,22,3,12192,1884
