date,edits,lives,covid_edits,covid_lives,covid_edits_percent,covid_lives_percent,culumative_edits,culumative_lives
20200109,1,0,103,17,1%,0%,1%,17
20200110,0,0,105,14,0%,0%,0%,31
20200111,0,0,89,12,0%,0%,0%,43
20200112,0,0,67,6,0%,0%,0%,49
20200113,0,0,91,10,0%,0%,0%,59
20200114,3,0,101,17,3%,0%,3%,76
20200115,0,0,129,18,0%,0%,0%,94
20200116,1,0,101,22,1%,0%,1%,116
20200117,0,0,102,9,0%,0%,0%,125
20200118,2,0,88,8,2%,0%,2%,133
20200119,4,0,108,10,4%,0%,3%,143
20200120,6,0,110,10,5%,0%,5%,153
20200121,15,1,125,22,12%,5%,11%,175
20200122,14,2,119,23,12%,9%,11%,198
20200123,17,1,136,16,13%,6%,12%,214
20200124,23,1,150,20,15%,5%,14%,234
20200125,15,2,89,8,17%,25%,18%,242
20200126,23,3,94,6,24%,50%,26%,248
20200127,20,1,142,20,14%,5%,13%,268
20200128,18,3,104,20,17%,15%,17%,288
20200129,24,3,114,15,21%,20%,21%,303
20200130,29,4,105,19,28%,21%,27%,322
20200131,48,7,146,36,33%,19%,30%,358
20200201,17,4,84,14,20%,29%,21%,372
20200202,23,1,84,36,27%,3%,20%,408
20200203,25,5,118,21,21%,24%,22%,429
20200204,22,3,119,21,18%,14%,18%,450
20200205,18,2,126,16,14%,13%,14%,466
20200206,14,4,128,23,11%,17%,12%,489
20200207,25,8,116,15,22%,53%,25%,504
20200208,20,2,90,7,22%,29%,23%,511
20200209,14,6,106,10,13%,60%,17%,521
20200210,14,2,96,12,15%,17%,15%,533
20200211,28,6,118,17,24%,35%,25%,550
20200212,19,2,111,20,17%,10%,16%,570
20200213,32,5,120,15,27%,33%,27%,585
20200214,23,6,103,14,22%,43%,25%,599
20200215,14,7,87,15,16%,47%,21%,614
20200216,15,1,87,7,17%,14%,17%,621
20200217,14,4,104,11,13%,36%,16%,632
20200218,23,3,128,12,18%,25%,19%,644
20200219,13,2,97,13,13%,15%,14%,657
20200220,8,2,120,21,7%,10%,7%,678
20200221,18,3,110,22,16%,14%,16%,700
20200222,22,7,72,13,31%,54%,34%,713
20200223,22,3,92,9,24%,33%,25%,722
20200224,54,8,129,21,42%,38%,41%,743
20200225,60,11,117,20,51%,55%,52%,763
20200226,69,7,140,13,49%,54%,50%,776
20200227,78,9,138,20,57%,45%,55%,796
20200228,53,9,117,21,45%,43%,45%,817
20200229,29,5,121,22,24%,23%,24%,839
20200301,37,4,112,15,33%,27%,32%,854
20200302,63,10,122,25,52%,40%,50%,879
20200303,55,7,150,24,37%,29%,36%,903
20200304,48,11,126,30,38%,37%,38%,933
20200305,64,14,129,28,50%,50%,50%,961
20200306,66,10,131,21,50%,48%,50%,982
20200307,42,6,76,9,55%,67%,56%,991
20200308,55,9,111,11,50%,82%,52%,1002
20200309,73,7,122,28,60%,25%,53%,1030
20200310,91,16,134,24,68%,67%,68%,1054
20200311,90,14,138,28,65%,50%,63%,1082
20200312,130,24,148,28,88%,86%,88%,1110
20200313,123,18,152,22,81%,82%,81%,1132
20200314,80,10,94,11,85%,91%,86%,1143
20200315,87,9,94,10,93%,90%,92%,1153
20200316,122,19,133,22,92%,86%,91%,1175
