date,edits,lives,covid_edits,covid_lives,covid_edits_percent,covid_lives_percent,culumative_edits,culumative_lives
20200317,130,20,143,22,91%,91%,91%,1197
20200318,124,20,134,24,93%,83%,91%,1221
20200319,111,15,118,20,94%,75%,91%,1241
20200320,115,21,128,24,90%,88%,89%,1265
20200321,91,11,98,11,93%,100%,94%,1276
20200322,76,13,83,14,92%,93%,92%,1290
20200323,117,16,123,18,95%,89%,94%,1308
20200324,107,14,119,16,90%,88%,90%,1324
20200325,131,24,141,26,93%,92%,93%,1350
20200326,103,24,110,26,94%,92%,93%,1376
20200327,137,23,143,25,96%,92%,95%,1401
20200328,83,15,85,15,98%,100%,98%,1416
20200329,80,12,86,14,93%,86%,92%,1430
20200330,105,21,107,24,98%,88%,96%,1454
20200331,110,17,114,20,96%,85%,95%,1474
20200401,111,12,118,17,94%,71%,91%,1491
20200402,110,21,113,24,97%,88%,96%,1515
20200403,114,26,119,28,96%,93%,95%,1543
20200404,73,12,81,13,90%,92%,90%,1556
20200405,79,14,81,15,98%,93%,97%,1571
20200406,117,24,126,28,93%,86%,92%,1599
20200407,121,23,132,25,92%,92%,92%,1624
20200408,109,19,128,24,85%,79%,84%,1648
20200409,102,20,109,26,94%,77%,90%,1674
20200410,73,12,93,17,78%,71%,77%,1691
20200411,61,11,68,14,90%,79%,88%,1705
20200412,73,11,83,15,88%,73%,86%,1720
20200413,82,13,105,16,78%,81%,79%,1736
20200414,98,18,115,20,85%,90%,86%,1756
20200415,113,18,129,22,88%,82%,87%,1778
20200416,104,20,119,26,87%,77%,86%,1804
20200417,98,17,113,21,87%,81%,86%,1825
20200418,52,6,61,9,85%,67%,83%,1834
20200419,68,13,88,13,77%,100%,80%,1847
20200420,91,16,104,20,88%,80%,86%,1867
20200421,95,15,111,18,86%,83%,85%,1885
20200422,91,14,111,19,82%,74%,81%,1904
20200423,101,19,126,22,80%,86%,81%,1926
20200424,94,12,118,16,80%,75%,79%,1942
20200425,51,8,67,8,76%,100%,79%,1950
20200426,70,10,82,10,85%,100%,87%,1960
20200427,108,14,130,17,83%,82%,83%,1977
20200428,87,14,106,16,82%,88%,83%,1993
20200429,87,16,103,20,84%,80%,84%,2013
20200430,106,18,126,21,84%,86%,84%,2034
20200501,98,11,125,17,78%,65%,77%,2051
20200502,56,8,67,8,84%,100%,85%,2059
20200503,59,5,75,7,79%,71%,78%,2066
20200504,118,13,138,15,86%,87%,86%,2081
20200505,76,13,101,16,75%,81%,76%,2097
20200506,94,17,118,19,80%,89%,81%,2116
20200507,87,8,112,12,78%,67%,77%,2128
20200508,79,9,114,19,69%,47%,66%,2147
20200509,48,6,79,12,61%,50%,59%,2159
20200510,53,5,69,5,77%,100%,78%,2164
20200511,101,14,119,16,85%,88%,85%,2180
20200512,102,13,121,17,84%,76%,83%,2197
20200513,107,16,124,19,86%,84%,86%,2216
20200514,106,15,124,19,85%,79%,85%,2235
20200515,93,14,121,18,77%,78%,77%,2253
20200516,57,10,80,11,71%,91%,74%,2264
20200517,51,6,85,13,60%,46%,58%,2277
20200518,99,12,125,15,79%,80%,79%,2292
20200519,72,12,102,15,71%,80%,72%,2307
20200520,68,13,111,19,61%,68%,62%,2326
20200521,64,8,93,12,69%,67%,69%,2338
20200522,68,8,95,14,72%,57%,70%,2352
20200523,42,5,64,6,66%,83%,67%,2358
20200524,43,4,88,11,49%,36%,47%,2369
20200525,90,7,114,11,79%,64%,78%,2380
20200526,60,13,97,21,62%,62%,62%,2401
20200527,64,10,108,17,59%,59%,59%,2418
20200528,54,6,96,17,56%,35%,53%,2435
20200529,66,11,123,26,54%,42%,52%,2461
20200530,28,2,89,28,31%,7%,26%,2489
20200531,23,3,82,23,28%,13%,25%,2512
20200601,57,5,113,43,50%,12%,40%,2555
20200602,30,3,118,48,25%,6%,20%,2603
20200603,43,11,107,42,40%,26%,36%,2645
20200604,36,5,104,20,35%,25%,33%,2665
20200605,44,12,101,19,44%,63%,47%,2684
20200606,21,1,81,20,26%,5%,22%,2704
20200607,15,2,79,12,19%,17%,19%,2716
20200608,47,8,103,23,46%,35%,44%,2739
20200609,43,5,106,17,41%,29%,39%,2756
20200610,53,6,110,20,48%,30%,45%,2776
20200611,40,9,102,16,39%,56%,42%,2792
20200612,43,6,118,14,36%,43%,37%,2806
20200613,26,4,59,17,44%,24%,39%,2823
20200614,19,2,66,16,29%,13%,26%,2839
20200615,75,11,131,19,57%,58%,57%,2858
20200616,46,6,100,20,46%,30%,43%,2878
20200617,44,7,100,21,44%,33%,42%,2899
20200618,43,11,93,21,46%,52%,47%,2920
20200619,51,8,106,20,48%,40%,47%,2940
20200620,23,3,68,13,34%,23%,32%,2953
20200621,22,0,94,5,23%,0%,22%,2958
20200622,46,8,104,14,44%,57%,46%,2972
20200623,40,10,95,22,42%,45%,43%,2994
20200624,42,7,96,15,44%,47%,44%,3009
20200625,38,9,99,17,38%,53%,41%,3026
20200626,35,6,100,18,35%,33%,35%,3044
20200627,17,1,51,5,33%,20%,32%,3049
20200628,26,1,83,9,31%,11%,29%,3058
20200629,42,8,109,17,39%,47%,40%,3075
20200630,52,7,124,21,42%,33%,41%,3096
20200701,61,10,126,24,48%,42%,47%,3120
20200702,39,5,87,11,45%,45%,45%,3131
20200703,47,4,95,10,49%,40%,49%,3141
20200704,29,2,75,8,39%,25%,37%,3149
20200705,26,3,63,9,41%,33%,40%,3158
20200706,41,4,84,10,49%,40%,48%,3168
20200707,53,8,124,16,43%,50%,44%,3184
20200708,59,13,104,20,57%,65%,58%,3204
20200709,46,7,107,19,43%,37%,42%,3223
20200710,41,6,111,16,37%,38%,37%,3239
20200711,27,2,86,5,31%,40%,32%,3244
20200712,29,1,80,8,36%,13%,34%,3252
20200713,56,11,114,18,49%,61%,51%,3270
20200714,47,8,106,16,44%,50%,45%,3286
20200715,56,8,120,19,47%,42%,46%,3305
20200716,36,6,102,18,35%,33%,35%,3323
20200717,66,8,112,10,59%,80%,61%,3333
20200718,33,6,74,10,45%,60%,46%,3343
20200719,28,3,62,4,45%,75%,47%,3347
20200720,44,8,95,13,46%,62%,48%,3360
20200721,52,9,116,18,45%,50%,46%,3378
20200722,38,5,96,15,40%,33%,39%,3393
20200723,53,11,110,18,48%,61%,50%,3411
20200724,33,3,96,11,34%,27%,34%,3422
20200725,24,3,77,7,31%,43%,32%,3429
20200726,16,1,66,5,24%,20%,24%,3434
20200727,42,6,102,15,41%,40%,41%,3449
20200728,52,8,116,18,45%,44%,45%,3467
20200729,39,5,105,17,37%,29%,36%,3484
20200730,48,6,107,16,45%,38%,44%,3500
20200731,44,7,104,15,42%,47%,43%,3515
20200801,28,4,78,12,36%,33%,36%,3527
20200802,21,1,58,5,36%,20%,35%,3532
20200803,36,5,105,17,34%,29%,34%,3549
20200804,27,3,102,12,26%,25%,26%,3561
20200805,23,2,99,14,23%,14%,22%,3575
20200806,31,6,94,17,33%,35%,33%,3592
20200807,28,5,101,12,28%,42%,29%,3604
20200808,17,3,79,11,22%,27%,22%,3615
20200809,16,1,83,7,19%,14%,19%,3622
20200810,26,7,92,16,28%,44%,31%,3638
20200811,41,6,112,19,37%,32%,36%,3657
20200812,27,4,93,12,29%,33%,30%,3669
20200813,35,10,108,16,32%,63%,36%,3685
20200814,30,4,99,19,30%,21%,29%,3704
20200815,20,4,83,14,24%,29%,25%,3718
20200816,21,2,69,6,30%,33%,31%,3724
20200817,21,2,82,15,26%,13%,24%,3739
20200818,32,4,104,15,31%,27%,30%,3754
20200819,24,6,109,15,22%,40%,24%,3769
20200820,29,4,106,16,27%,25%,27%,3785
20200821,24,2,94,21,26%,10%,23%,3806
20200822,19,2,71,10,27%,20%,26%,3816
20200823,13,3,75,9,17%,33%,19%,3825
20200824,32,4,109,18,29%,22%,28%,3843
20200825,35,2,128,18,27%,11%,25%,3861
20200826,28,2,105,13,27%,15%,25%,3874
20200827,31,7,110,23,28%,30%,29%,3897
20200828,22,3,93,19,24%,16%,22%,3916
20200829,23,4,66,13,35%,31%,34%,3929
20200830,11,1,71,6,15%,17%,16%,3935
20200831,18,8,79,20,23%,40%,26%,3955
20200901,51,4,115,17,44%,24%,42%,3972
20200902,31,4,123,19,25%,21%,25%,3991
20200903,26,5,99,14,26%,36%,27%,4005
20200904,20,6,98,17,20%,35%,23%,4022
20200905,15,4,65,6,23%,67%,27%,4028
20200906,10,1,78,4,13%,25%,13%,4032
20200907,30,6,105,10,29%,60%,31%,4042
20200908,31,3,99,13,31%,23%,30%,4055
20200909,35,8,96,17,36%,47%,38%,4072
20200910,22,4,104,19,21%,21%,21%,4091
20200911,26,5,104,15,25%,33%,26%,4106
20200912,10,3,59,8,17%,38%,19%,4114
20200913,12,2,79,6,15%,33%,16%,4120
20200914,44,4,104,17,42%,24%,40%,4137
20200915,26,5,96,23,27%,22%,26%,4160
20200916,33,7,106,18,31%,39%,32%,4178
20200917,39,7,106,13,37%,54%,39%,4191
20200918,44,9,115,21,38%,43%,39%,4212
20200919,17,0,94,12,18%,0%,16%,4224
20200920,13,0,83,5,16%,0%,15%,4229
20200921,46,5,102,18,45%,28%,43%,4247
20200922,47,6,109,15,43%,40%,43%,4262
20200923,26,7,100,17,26%,41%,28%,4279
20200924,34,5,104,22,33%,23%,31%,4301
20200925,40,4,112,13,36%,31%,35%,4314
20200926,14,0,63,9,22%,0%,19%,4323
20200927,6,0,71,9,8%,0%,8%,4332
20200928,23,4,109,14,21%,29%,22%,4346
20200929,32,3,122,21,26%,14%,24%,4367
20200930,31,6,122,21,25%,29%,26%,4388
